host,ip,port,protocol,title,domain,country,city,link,org
122.230.50.116:85,122.230.50.116,85,http,,,CN,Huzhou,http://122.230.50.116:85,Chinanet
182.91.79.82:85,182.91.79.82,85,http,,,CN,Guilin,http://182.91.79.82:85,CHINA UNICOM China169 Backbone
222.71.55.147:85,222.71.55.147,85,http,,,CN,Shanghai,http://222.71.55.147:85,China Telecom (Group)
125.118.185.254:85,125.118.185.254,85,http,,,CN,Hangzhou,http://125.118.185.254:85,Chinanet
183.142.57.176:85,183.142.57.176,85,http,,,CN,Hangzhou,http://183.142.57.176:85,Chinanet
122.224.58.42:85,122.224.58.42,85,http,,,CN,Shaoxing,http://122.224.58.42:85,Chinanet
110.80.17.38:85,110.80.17.38,85,http,,,CN,Xiamen,http://110.80.17.38:85,Chinanet
43.139.182.244:85,43.139.182.244,85,http,,,CN,Guangzhou,http://43.139.182.244:85,Shenzhen Tencent Computer Systems Company Limited
123.159.166.48:85,123.159.166.48,85,http,,,CN,Wenzhou,http://123.159.166.48:85,CHINA UNICOM China169 Backbone
115.150.63.77:85,115.150.63.77,85,http,,,CN,Ganzhou,http://115.150.63.77:85,Chinanet
115.204.54.78:85,115.204.54.78,85,http,,,CN,Hangzhou,http://115.204.54.78:85,Chinanet
115.206.13.121:85,115.206.13.121,85,http,,,CN,Hangzhou,http://115.206.13.121:85,Chinanet
39.165.39.49:85,39.165.39.49,85,http,,,CN,Pingdingshan,http://39.165.39.49:85,"Henan Mobile Communications Co.,Ltd"
118.79.62.23:85,118.79.62.23,85,http,,,CN,Xinzhou,http://118.79.62.23:85,CHINA UNICOM China169 Backbone
123.159.69.114:85,123.159.69.114,85,http,,,CN,Wenzhou,http://123.159.69.114:85,CHINA UNICOM China169 Backbone
101.66.198.55:85,101.66.198.55,85,http,,,CN,Jinhua,http://101.66.198.55:85,CHINA UNICOM China169 Backbone
101.66.198.179:85,101.66.198.179,85,http,,,CN,Jinhua,http://101.66.198.179:85,CHINA UNICOM China169 Backbone
81.70.56.134:85,81.70.56.134,85,http,,,CN,Beijing,http://81.70.56.134:85,Shenzhen Tencent Computer Systems Company Limited
183.131.110.207:85,183.131.110.207,85,http,,,CN,Hangzhou,http://183.131.110.207:85,CT-HangZhou-IDC
220.184.171.205:85,220.184.171.205,85,http,,,CN,Hangzhou,http://220.184.171.205:85,Chinanet
121.24.99.124:85,121.24.99.124,85,http,,,CN,Handan,http://121.24.99.124:85,CHINA UNICOM China169 Backbone
121.40.162.198:85,121.40.162.198,85,http,,,CN,Hangzhou,http://121.40.162.198:85,"Hangzhou Alibaba Advertising Co.,Ltd."
123.159.68.147:85,123.159.68.147,85,http,,,CN,Wenzhou,http://123.159.68.147:85,CHINA UNICOM China169 Backbone
123.160.175.100:85,123.160.175.100,85,http,,,CN,Zhengzhou,http://123.160.175.100:85,Chinanet
123.159.168.118:85,123.159.168.118,85,http,,,CN,Wenzhou,http://123.159.168.118:85,CHINA UNICOM China169 Backbone
183.159.190.243:85,183.159.190.243,85,http,,,CN,Hangzhou,http://183.159.190.243:85,Chinanet
39.164.160.249:85,39.164.160.249,85,http,,,CN,Zhoukou,http://39.164.160.249:85,"Henan Mobile Communications Co.,Ltd"
60.26.15.45:85,60.26.15.45,85,http,,,CN,Tianjin,http://60.26.15.45:85,CHINA UNICOM China169 Backbone
