央视,#genre#
CCTV1,http://60.26.15.45:85/tsfile/live/33/1007.m3u8?key=txiptv
CCTV2,http://60.26.15.45:85/tsfile/live/37/1008.m3u8?key=txiptv
CCTV3,http://60.26.15.45:85/tsfile/live/41/1009.m3u8?key=txiptv
CCTV4,http://60.26.15.45:85/tsfile/live/45/1010.m3u8?key=txiptv
CCTV5,http://60.26.15.45:85/tsfile/live/49/1011.m3u8?key=txiptv
CCTV5+,http://60.26.15.45:85/tsfile/live/101/1024.m3u8?key=txiptv
CCTV6,http://60.26.15.45:85/tsfile/live/53/1012.m3u8?key=txiptv
CCTV7,http://60.26.15.45:85/tsfile/live/57/1013.m3u8?key=txiptv
CCTV8,http://60.26.15.45:85/tsfile/live/61/1014.m3u8?key=txiptv
CCTV9,http://60.26.15.45:85/tsfile/live/65/1015.m3u8?key=txiptv
CCTV10,http://60.26.15.45:85/tsfile/live/69/1016.m3u8?key=txiptv
CCTV11,http://60.26.15.45:85/tsfile/live/73/1017.m3u8?key=txiptv
CCTV12,http://60.26.15.45:85/tsfile/live/77/1018.m3u8?key=txiptv
CCTV13,http://60.26.15.45:85/tsfile/live/81/1019.m3u8?key=txiptv
CCTV14,http://60.26.15.45:85/tsfile/live/85/1020.m3u8?key=txiptv
CCTV15,http://60.26.15.45:85/tsfile/live/89/1021.m3u8?key=txiptv
CCTV16,http://60.26.15.45:85/tsfile/live/93/1022.m3u8?key=txiptv
CCTV17,http://60.26.15.45:85/tsfile/live/97/1023.m3u8?key=txiptv

卫视,#genre#
东方卫视,http://60.26.15.45:85/tsfile/live/109/1026.m3u8?key=txiptv
云南卫视,http://60.26.15.45:85/tsfile/live/153/1037.m3u8?key=txiptv
北京卫视,http://60.26.15.45:85/tsfile/live/121/1029.m3u8?key=txiptv
吉林卫视,http://60.26.15.45:85/tsfile/live/133/1032.m3u8?key=txiptv
四川卫视,http://60.26.15.45:85/tsfile/live/161/1039.m3u8?key=txiptv
天津卫视,http://60.26.15.45:85/tsfile/live/5/1000.m3u8?key=txiptv
安徽卫视,http://60.26.15.45:85/tsfile/live/169/1041.m3u8?key=txiptv
广东卫视,http://60.26.15.45:85/tsfile/live/137/1033.m3u8?key=txiptv
广西卫视,http://60.26.15.45:85/tsfile/live/173/1042.m3u8?key=txiptv
江苏卫视,http://60.26.15.45:85/tsfile/live/117/1028.m3u8?key=txiptv
江西卫视,http://60.26.15.45:85/tsfile/live/177/1043.m3u8?key=txiptv
河北卫视,http://60.26.15.45:85/tsfile/live/149/1036.m3u8?key=txiptv
河南卫视,http://60.26.15.45:85/tsfile/live/145/1035.m3u8?key=txiptv
浙江卫视,http://60.26.15.45:85/tsfile/live/113/1027.m3u8?key=txiptv
海南卫视,http://60.26.15.45:85/tsfile/live/185/1045.m3u8?key=txiptv
深圳卫视,http://60.26.15.45:85/tsfile/live/141/1034.m3u8?key=txiptv
湖北卫视,http://60.26.15.45:85/tsfile/live/125/1030.m3u8?key=txiptv
湖南卫视,http://60.26.15.45:85/tsfile/live/105/1025.m3u8?key=txiptv
甘肃卫视,http://60.26.15.45:85/tsfile/live/181/1044.m3u8?key=txiptv
贵州卫视,http://60.26.15.45:85/tsfile/live/157/1038.m3u8?key=txiptv
辽宁卫视,http://60.26.15.45:85/tsfile/live/129/1031.m3u8?key=txiptv
重庆卫视,http://60.26.15.45:85/tsfile/live/165/1040.m3u8?key=txiptv
陕西卫视,http://60.26.15.45:85/tsfile/live/193/1047.m3u8?key=txiptv

其他,#genre#
天津体育,http://60.26.15.45:85/tsfile/live/25/1005.m3u8?key=txiptv
天津国际,http://60.26.15.45:85/tsfile/live/189/1046.m3u8?key=txiptv
天津影视,http://60.26.15.45:85/tsfile/live/17/1003.m3u8?key=txiptv
天津教育,http://60.26.15.45:85/tsfile/live/29/1006.m3u8?key=txiptv
天津文艺,http://60.26.15.45:85/tsfile/live/13/1002.m3u8?key=txiptv
天津新闻,http://60.26.15.45:85/tsfile/live/9/1001.m3u8?key=txiptv
天津都市,http://60.26.15.45:85/tsfile/live/21/1004.m3u8?key=txiptv
